,activation,solver,learning_rate,learning_rate_init,alpha,hidden_layer_sizes,fit_time,test_balanced_accuracy,test_f1_weighted,test_precision_weighted,test_recall_weighted
0,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7,)",0.6141890525817871,0.20628844787029985,0.4522106356582315,0.48094316147862726,0.5014583168717481
1,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14,)",0.7504939079284668,0.20659476483246464,0.45445706429111715,0.49111239685170316,0.5036257389755268
2,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21,)",0.9935498714447022,0.20773229073941626,0.4553422018507839,0.4921449137832294,0.5033190147471859
3,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7, 14)",0.9570792198181153,0.20514117771534407,0.44825954711765814,0.4756544011698242,0.5022326698416575
4,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7, 21)",1.2915664196014405,0.20784652539609577,0.4591433928960475,0.48793179368180273,0.5093522156695136
5,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14, 7)",1.0740245819091796,0.2049441191253305,0.4428681708654388,0.47912490484224846,0.49836234163955
6,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14, 21)",1.4559336185455323,0.20564382148785745,0.45048425176140683,0.4884526351306858,0.5016150311632774
7,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21, 7)",1.2572025299072265,0.20660180163582326,0.4385303235401093,0.47903844676024593,0.4977425479900105
8,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21, 14)",1.4660977840423584,0.2053030073408471,0.44821525950457364,0.4870338305590433,0.5023869897207875
9,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7, 14)",0.9545526504516602,0.20492202818735222,0.44597508167551003,0.47994840511066184,0.4975905028026597
10,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7, 21)",1.2965906620025636,0.2062857280528449,0.4495028480274591,0.4847889654513716,0.5013043561544779
11,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14, 7)",1.0112170219421386,0.2083384485418887,0.4534853449001629,0.4913337290695773,0.504088459171677
12,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14, 21)",1.4685185432434082,0.20667852058002872,0.4556868985402184,0.4827306332107758,0.5059483190027751
13,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21, 7)",1.262015199661255,0.2073937359544591,0.44698996634600796,0.49141093241949874,0.502076793594468
14,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21, 14)",1.4450347900390625,0.20425806034388141,0.4431314664181766,0.4827236207541573,0.49882793513057927
15,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7, 14, 21)",0.29602656364440916,0.14285714285714285,0.2650976281026403,0.1903838442896125,0.4363299404509636
16,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7, 21, 14)",1.0511630058288575,0.17341933320581154,0.34523843460021797,0.33635031989117725,0.4547236967811914
17,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14, 7, 21)",0.4947763442993164,0.1458263028120699,0.26280407534982586,0.2166970703021666,0.42363644199895123
18,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14, 21, 7)",0.3101480960845947,0.14285714285714285,0.2650976281026403,0.1903838442896125,0.4363299404509636
19,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21, 7, 14)",0.8729843616485595,0.15617870071278053,0.3027351259206359,0.27533940249201716,0.4372501131359858
20,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(21, 14, 7)",1.165747308731079,0.17997071948152338,0.3926750861363484,0.37426409060866905,0.48721934493665575
21,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7, 14, 21)",0.8431360721588135,0.16966050289072987,0.35351579044632114,0.32060882585389594,0.47391694741152046
22,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(7, 21, 14)",0.3072537422180176,0.14285714285714285,0.2650976281026403,0.1903838442896125,0.4363299404509636
23,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(14, 7, 21)",0.7897220134735108,0.15501355380295276,0.2983885100108429,0.2719153552250342,0.4336910585457775
