,activation,solver,learning_rate,learning_rate_init,alpha,hidden_layer_sizes,fit_time,test_balanced_accuracy,test_f1_weighted,test_precision_weighted,test_recall_weighted
0,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(2,)",0.008633565902709962,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
1,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(4,)",0.010178565979003906,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
2,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(6,)",0.011648225784301757,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
3,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(8,)",0.011797761917114258,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
4,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(2, 4)",0.010501670837402343,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
5,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(2, 6)",0.012122535705566406,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
6,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(2, 8)",0.016124677658081055,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
7,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(4, 2)",0.010744380950927734,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
8,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(4, 6)",0.01110668182373047,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
9,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(4, 8)",0.013261032104492188,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
10,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(6, 2)",0.010144662857055665,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
11,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(6, 4)",0.011732006072998047,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
