,activation,solver,learning_rate,learning_rate_init,alpha,hidden_layer_sizes,fit_time,test_balanced_accuracy,test_f1_weighted,test_precision_weighted,test_recall_weighted
0,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(2,)",0.008025646209716797,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
1,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(4,)",0.01015315055847168,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
2,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(6,)",0.010131406784057616,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
3,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(8,)",0.010907411575317383,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
4,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(2, 4)",0.010165977478027343,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
5,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(2, 6)",0.012532997131347656,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
6,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(2, 8)",0.015109586715698241,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
7,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(4, 2)",0.011102819442749023,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
8,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(4, 6)",0.01336665153503418,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
9,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(4, 8)",0.012645959854125977,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
10,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(6, 2)",0.018286514282226562,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
11,logistic,lbfgs,constant,1.0023052380778996,1.0002302850208247,"(6, 4)",0.012440872192382813,0.5,0.5050687616477092,0.4152961949147757,0.6443994601889339
